#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:2021-06-11_OMPuniprot_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.2021-06-11_OMPuniprot_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:2021-06-11_OMPuniprot_muscle" name="distribution" x="@birthRate.t:2021-06-11_OMPuniprot_muscle">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="gammaShape.s:2021-06-11_OMPuniprot_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PropInvariantPrior.s:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="proportionInvariant.s:2021-06-11_OMPuniprot_muscle" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:2021-06-11_OMPuniprot_muscle" name="distribution">
#            <parameter id="ucldStdev.c:2021-06-11_OMPuniprot_muscle" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2021-06-11_OMPuniprot_muscle" id="treeLikelihood.2021-06-11_OMPuniprot_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2021-06-11_OMPuniprot_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:2021-06-11_OMPuniprot_muscle" proportionInvariant="@proportionInvariant.s:2021-06-11_OMPuniprot_muscle" shape="@gammaShape.s:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2021-06-11_OMPuniprot_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <substModel id="JTT.s:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:2021-06-11_OMPuniprot_muscle" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:2021-06-11_OMPuniprot_muscle">
#                <LogNormal S="@ucldStdev.c:2021-06-11_OMPuniprot_muscle" id="LogNormalDistributionModel.c:2021-06-11_OMPuniprot_muscle" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="234" id="rateCategories.c:2021-06-11_OMPuniprot_muscle" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:2021-06-11_OMPuniprot_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	proportionInvariant	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
18000	-54739.61090863466	-54321.34250314821	-418.2684054864521	-54321.34250314821	102.48154303834083	-410.0227308832818	0.09613604139403152	0.0	0.756491160954746	2.693933506692972	0.2754797004078722	1.7485514026067743	2.9492437989768563
19000	-54524.772463989306	-54099.43022778021	-425.342236209093	-54099.43022778021	90.12039969129776	-417.0965616059227	0.06059990147739335	0.0	0.756491160954746	2.693933506692972	0.6916402773363365	16.30434327931244	5.681169536913212
20000	-54113.409007659284	-53681.42967233231	-431.9793353269707	-53681.42967233231	89.47655460538988	-423.7336607238004	0.07966189407185985	0.0	0.756491160954746	2.693933506692972	1.8338418075048635	16.258069835238345	5.7637956442487885
21000	-53704.46206420464	-53275.686465855055	-428.7755983495875	-53275.686465855055	90.3621196531568	-420.5299237464172	0.08786787731397631	0.0	0.756491160954746	2.693933506692972	0.5370403808477233	16.440636372490893	5.553870568541982
22000	-53456.2286693025	-53026.947096092736	-429.2815732097687	-53026.947096092736	95.37492889698741	-421.0358986065984	0.06207120855687749	0.0	0.756491160954746	2.693933506692972	0.48438973762627613	16.44625525702292	5.600947507590323
23000	-53411.209272378175	-52980.733302156725	-430.47597022145146	-52980.733302156725	98.65408144909127	-422.11756669703726	0.07135280132363954	0.0	0.756491160954746	2.7343653936884484	0.4216057591575421	16.42435294490338	5.835676847444115
24000	-53402.88621557302	-52972.81866121192	-430.06755436109853	-52972.81866121192	100.30680275254005	-421.6139576362889	0.08131606001611816	0.0	0.7708067599487771	2.763395667773704	0.3605698015281409	16.45360745155335	5.96143731753176
25000	-53338.55703656285	-52913.679845916646	-424.8771906462085	-52913.679845916646	95.47578136674586	-416.42359392139883	0.08385239038045073	0.0	0.7708067599487771	2.763395667773704	0.3280685354239655	16.4779998829982	6.047255441526618
26000	-53219.728535375216	-52795.96260966148	-423.7659257137313	-52795.96260966148	89.9134254625737	-415.2462062272681	0.07443705924820505	0.0	0.7708067599487771	2.7871434070266856	0.4036003312597709	16.44614087832649	6.071285147468766
27000	-53162.33654663679	-52748.8679216941	-413.46862494268754	-52748.8679216941	80.9711589105254	-405.0479584086136	0.09432592757389711	0.0	0.7708067599487771	2.7515734543350643	0.3467546501331849	16.528494757682555	5.8726484764200055
28000	-53120.615074349014	-52709.74988703276	-410.8651873162533	-52709.74988703276	80.3329039110945	-402.4445207821794	0.08249544527560182	0.0	0.7708067599487771	2.7515734543350643	0.34423028881817636	16.483929854429686	5.926919252534534
29000	-52940.290993571885	-52522.89113610546	-417.3998574664218	-52522.89113610546	83.0803041519703	-408.9791909323479	0.07792115845093953	0.0	0.7708067599487771	2.7515734543350643	0.2843983864808062	16.505545558719685	5.940909245018282
30000	-52801.070243230984	-52380.032381777964	-421.037861453023	-52380.032381777964	86.11556994103826	-412.54936027371883	0.07465214406876693	0.0	0.7708067599487771	2.775929961840449	0.21884703215781853	16.38574868429962	6.222626767644421
31000	-51981.03208231409	-51563.96634583696	-417.0657364771283	-51563.96634583696	83.72544790794413	-408.57723529782413	0.08651800962617308	0.0	0.7708067599487771	2.775929961840449	0.2567345487724391	16.090267219619314	6.286749117248313
32000	-50901.57239146815	-50508.21601459433	-393.35637687382643	-50508.21601459433	65.19579415357875	-384.9359365336253	0.10760704727282275	0.0	0.7708067599487771	2.7514922593660254	0.26102616822926855	16.100003416893475	6.04964848813614
33000	-50623.65227553968	-50250.05636298366	-373.59591255602106	-50250.05636298366	55.64277237215474	-364.9170840918832	0.12271993059593153	0.0	1.0291948838854394	2.7514922593660254	0.2651119553776313	16.092458415110816	6.096976099864001
34000	-49918.11745878721	-49560.903500860564	-357.21395792664276	-49560.903500860564	50.90816299929723	-348.8166768663877	0.12626138338341833	0.0	1.1234572609743863	2.616795747085555	0.41308776468711705	15.961661794178937	5.538380017709615
35000	-49704.795459907815	-49346.69499769764	-358.10046221017393	-49346.69499769764	51.25869622938355	-349.8909482955669	0.14801477828979517	0.0	1.0448828905290486	2.5777390879148063	0.5568689268841234	16.33351636099667	5.33865154486616
