#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:uniprotOMP_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:uniprotOMP_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:uniprotOMP_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.uniprotOMP_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:uniprotOMP_muscle" name="distribution" x="@birthRate.t:uniprotOMP_muscle">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:uniprotOMP_muscle" name="distribution">
#            <parameter id="gammaShape.s:uniprotOMP_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@uniprotOMP_muscle" id="treeLikelihood.uniprotOMP_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:uniprotOMP_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:uniprotOMP_muscle" shape="@gammaShape.s:uniprotOMP_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:uniprotOMP_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:uniprotOMP_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:uniprotOMP_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:uniprotOMP_muscle" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:uniprotOMP_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape
47000	-118560.21196987403	-118455.5238094284	-104.68816044562178	-118455.5238094284	3.905690710232537	-100.11139197796068	1.0177075728198064	3.559060894841294
48000	-118554.19086632697	-118450.11047005703	-104.08039626993991	-118450.11047005703	4.121354105304744	-99.27446456796979	1.2468708071288284	3.559060894841294
49000	-118547.0362807962	-118445.30238628344	-101.73389451275862	-118445.30238628344	4.120005961687696	-97.10877322356768	1.0660603943496445	3.559060894841294
50000	-118564.83598877958	-118461.0210932899	-103.81489548968194	-118461.0210932899	3.9546260590809763	-98.91076531660892	1.3450692782317333	3.559060894841294
51000	-118553.85299693128	-118452.2015997715	-101.65139715976996	-118452.2015997715	4.039383738393787	-96.76605739168312	1.2286049476805907	3.6567348204062426
52000	-118558.99957154821	-118453.53582114379	-105.4637504044204	-118453.53582114379	4.215996107089065	-100.47561245024309	1.331403133771059	3.6567348204062426
53000	-118560.63149136284	-118456.68067869046	-103.95081267237698	-118456.68067869046	4.310848625312407	-99.10762444450515	1.186453407465594	3.6567348204062426
54000	-118553.9364257211	-118450.337187431	-103.59923829009648	-118450.337187431	4.067114851520236	-99.0313685095978	0.9809267282797911	3.586943052218881
55000	-118567.05914827246	-118467.63545211335	-99.42369615910334	-118467.63545211335	3.8471210100075313	-94.54590522535378	1.2908478815306825	3.586943052218881
56000	-118567.12258015187	-118465.15701930848	-101.96556084339326	-118465.15701930848	4.412570837049959	-97.27248703694525	1.1075305723353923	3.5855432341126257
57000	-118557.35477109811	-118456.9324271082	-100.42234398990288	-118456.9324271082	3.9995301626316078	-95.58713616100172	1.2496645947885403	3.5855432341126257
58000	-118556.5312364442	-118455.95233463211	-100.57890181210385	-118455.95233463211	3.722874578379975	-95.85213622642958	1.141222351561652	3.5855432341126257
59000	-118572.77132867083	-118471.85757820749	-100.91375046334255	-118471.85757820749	3.6229439860701445	-96.16236362213766	1.2629638856317646	3.4884229555731348
60000	-118567.33875123011	-118462.18100267995	-105.15774855016416	-118462.18100267995	4.236766139877474	-100.58361860706297	1.1392294979496445	3.434900445151545
61000	-118555.61296703016	-118453.38858156194	-102.22438546821684	-118453.38858156194	3.9285823879910997	-97.54060728882254	1.2488777342427568	3.434900445151545
62000	-118549.99836219868	-118455.15939362795	-94.83896857072108	-118455.15939362795	3.743360539595118	-90.06778322506554	1.3362849005040007	3.434900445151545
63000	-118546.75226788953	-118444.66060341391	-102.09166447562136	-118444.66060341391	3.9528242842486048	-97.05178468224497	1.1502470271889669	3.889632766187419
64000	-118548.63165229127	-118448.40718415723	-100.22446813403319	-118448.40718415723	3.75637347571113	-94.97318676520149	1.3616486026442793	3.889632766187419
65000	-118549.20447756782	-118454.93839283029	-94.26608473753252	-118454.93839283029	3.680564218364283	-89.1058724085722	1.2705795627729022	3.889632766187419
66000	-118558.02916912084	-118460.28623850946	-97.74293061138036	-118460.28623850946	3.6884399235897543	-92.64528281445808	1.208015030734851	3.889632766187419
67000	-118549.2266311641	-118450.78111410183	-98.44551706226599	-118450.78111410183	3.7744530281928115	-93.2948360449495	1.2610482511290664	3.889632766187419
68000	-118544.63398046003	-118448.87103507516	-95.76294538486873	-118448.87103507516	3.7756373262236242	-90.34804254723915	1.5252700714421685	3.889632766187419
69000	-118559.57539541174	-118461.00500666894	-98.57038874279287	-118461.00500666894	3.840897075007751	-93.43492470712755	1.2458312694779032	3.889632766187419
70000	-118551.78300823816	-118450.27701729065	-101.50599094751428	-118450.27701729065	3.8632290273742296	-96.57056638011512	1.0457918012117382	3.889632766187419
71000	-118563.76786708036	-118456.92928972116	-106.83857735920608	-118456.92928972116	4.368860463783245	-101.77001381815789	1.1789307748607678	3.889632766187419
72000	-118561.24700568034	-118457.54282983989	-103.70417584045585	-118457.54282983989	4.122379671260049	-98.56914145689989	1.1772010210083146	3.957833362547647
73000	-118549.91018906495	-118449.50953959674	-100.40064946821096	-118449.50953959674	4.114440649560534	-95.27360218382461	1.1692139218387048	3.957833362547647
74000	-118555.30967953271	-118453.52937053994	-101.7803089927697	-118453.52937053994	4.143915632242495	-96.60010707106883	1.222368559153229	3.957833362547647
75000	-118545.37124749833	-118443.02385189896	-102.34739559937182	-118443.02385189896	4.0752056518867485	-97.35931713818519	1.030245098638984	3.957833362547647
76000	-118546.20973456606	-118446.22406919964	-99.98566536641627	-118446.22406919964	3.996463719675073	-94.96685895783072	1.0609730460379068	3.957833362547647
77000	-118545.16076231423	-118443.02526027849	-102.135502035741	-118443.02526027849	4.220282240993521	-96.91616307035085	1.2615056028425042	3.957833362547647
78000	-118540.97882872968	-118443.76636018182	-97.2124685478577	-118443.76636018182	3.6202654541939374	-91.98395157731505	1.2706836079949926	3.957833362547647
79000	-118549.09621655257	-118448.91507878728	-100.18113776529452	-118448.91507878728	3.951002768222536	-95.04277847902051	1.1805259237263677	3.957833362547647
80000	-118551.74202641788	-118452.65550949873	-99.08651691915286	-118452.65550949873	3.6085539912009725	-93.97263434607456	1.1560492105306557	3.957833362547647
81000	-118549.85009439693	-118450.9027968756	-98.94729752133497	-118450.9027968756	3.7998663259550707	-93.81530740443476	1.1741567543525653	3.957833362547647
82000	-118559.58409956134	-118459.08889959137	-100.49519996997672	-118459.08889959137	3.8106173895775637	-95.31408058337846	1.2232860240506283	3.957833362547647
83000	-118557.6609202043	-118455.65072543363	-102.01019477067487	-118455.65072543363	3.884204323424525	-97.08104196679736	1.0021238953496026	3.9270289085279124
84000	-118562.49422354742	-118462.98937874215	-99.50484480526717	-118462.98937874215	3.8193619283117712	-94.36058492025988	1.2172309764793725	3.9270289085279124
85000	-118556.873396667	-118455.13075362379	-101.74264304320262	-118455.13075362379	3.9925698078448915	-96.73931870950794	1.3079472521359108	3.695377081558767
86000	-118550.40683562173	-118447.28853137411	-103.11830424761388	-118447.28853137411	4.088218406728196	-98.15544452792945	1.267482638125666	3.695377081558767
87000	-118558.55500128558	-118452.47342590573	-106.08157537984799	-118452.47342590573	4.455938556785914	-101.28014769556899	1.1060506027202408	3.695377081558767
88000	-118561.17822622648	-118458.50083906029	-102.677387166192	-118458.50083906029	4.420439982137759	-97.60834579521531	1.3736642894179247	3.695377081558767
89000	-118564.62659719418	-118464.3156661417	-100.3109310524709	-118464.3156661417	4.073395639096128	-95.36870911035528	1.2468448605568616	3.695377081558767
90000	-118565.85225975007	-118467.26929461982	-98.58296513024901	-118467.26929461982	3.8931061299129213	-93.71849351907058	1.169094529619675	3.695377081558767
91000	-118545.17627980182	-118443.75021304884	-101.42606675297625	-118443.75021304884	3.8057532249414305	-96.37438658274657	1.3563030886709269	3.695377081558767
92000	-118547.98722410844	-118446.40232912869	-101.58489497974823	-118446.40232912869	3.967938293772466	-96.49850260370839	1.3910152944810832	3.695377081558767
93000	-118557.88519022125	-118459.45405128728	-98.43113893396439	-118459.45405128728	3.8550722154471075	-93.42807951304198	1.3076823393636556	3.695377081558767
94000	-118547.45628655271	-118445.62947691217	-101.82680964053421	-118445.62947691217	3.8259936508073404	-96.68403949858111	1.4473930603943383	3.695377081558767
95000	-118536.7703272258	-118440.20525266393	-96.56507456185773	-118440.20525266393	3.9629107462550763	-91.58816498074927	1.2815324995497044	3.695377081558767
96000	-118541.50493099511	-118442.86631489336	-98.63861610175671	-118442.86631489336	3.9161570188644466	-93.49443527702785	1.3946871068955868	3.7494937178332783
97000	-118541.46189632504	-118441.81938984206	-99.64250648298639	-118441.81938984206	4.149256175487057	-94.6435763947605	1.2494363703926112	3.7494937178332783
98000	-118530.2315916187	-118432.69791212468	-97.53367949403017	-118432.69791212468	3.726065567463753	-92.3774442477493	1.406741528447591	3.7494937178332783
99000	-118540.60981097042	-118445.4955080164	-95.1143029540056	-118445.4955080164	3.709366209127542	-90.01694879374304	1.3410974695137807	3.7562566907487724
100000	-118543.89737491038	-118445.48354117261	-98.41383373776041	-118445.48354117261	4.205199580967938	-93.31057780546585	1.3469992415457814	3.7562566907487724
101000	-118543.98581098448	-118447.26349853794	-96.72231244653848	-118447.26349853794	3.767943126705376	-91.58391391908813	1.382141836701572	3.7562566907487724
102000	-118546.3327578765	-118449.22549960983	-97.10725826666527	-118449.22549960983	3.7177522729995434	-91.86293559034858	1.4880659855679081	3.7562566907487724
103000	-118539.88203308651	-118442.10618092488	-97.77585216163422	-118442.10618092488	3.8451502601718603	-92.61165285640703	1.4079426144784144	3.7562566907487724
104000	-118535.85912726285	-118436.04459302966	-99.81453423319242	-118436.04459302966	3.6343679173306125	-95.00958026270649	1.0486972797371608	3.7562566907487724
105000	-118537.12689486265	-118436.9388748637	-100.18801999895447	-118436.9388748637	3.8253888088800982	-95.33525605527494	1.09650725293077	3.7562566907487724
106000	-118552.922755028	-118452.11104129221	-100.81171373579603	-118452.11104129221	3.885686578126251	-95.81951691063358	1.2359401344136762	3.7562566907487724
107000	-118541.54181172582	-118441.32918291487	-100.21262881095032	-118441.32918291487	3.8701591011159446	-95.449741217013	1.0066309031885574	3.7562566907487724
108000	-118540.4182670887	-118443.02197585285	-97.39629123584689	-118443.02197585285	3.8105736257010236	-92.29918745532284	1.340847089775281	3.7562566907487724
109000	-118532.68225765182	-118429.99112814758	-102.69112950424302	-118429.99112814758	4.1692495884420735	-97.77040376603945	1.1644690474547985	3.7562566907487724
110000	-118531.6579863626	-118432.81185397055	-98.84613239205328	-118432.81185397055	3.963212044661797	-94.04145808701716	1.210211950994564	3.594462354041547
111000	-118544.89674131594	-118442.25044012307	-102.64630119287185	-118442.25044012307	4.035153428172588	-98.01485407017607	1.0369847686542155	3.594462354041547
112000	-118540.6571501785	-118439.70976947673	-100.94738070176281	-118439.70976947673	3.8856569608212266	-96.2104732166406	1.1424451310806618	3.594462354041547
113000	-118548.85248700411	-118453.94763455607	-94.90485244804009	-118453.94763455607	3.8692107650948433	-90.04426479460624	1.2661252993923025	3.594462354041547
114000	-118548.17301287409	-118447.47523729481	-100.6977755792772	-118447.47523729481	3.9724014777197714	-95.76881589561494	1.3344973296207228	3.594462354041547
115000	-118553.51491201397	-118453.21159024356	-100.30332177040604	-118453.21159024356	3.973905995421272	-95.47414043684262	1.2347189795218714	3.594462354041547
116000	-118552.01961395012	-118449.33430526729	-102.68530868284114	-118449.33430526729	4.038787466856108	-97.80578555968053	1.285060769119059	3.594462354041547
117000	-118541.43382384318	-118440.65479543325	-100.77902840992667	-118440.65479543325	3.9446831614766102	-96.08726828127027	1.0972977746148487	3.594462354041547
118000	-118537.98523634435	-118434.73417473421	-103.25106161012958	-118434.73417473421	4.273940118643556	-98.53110701480212	1.125492241285906	3.594462354041547
119000	-118537.70490234479	-118435.43366750471	-102.27123484008592	-118435.43366750471	3.9911040707257963	-97.43866767301022	1.2381048130341514	3.594462354041547
120000	-118560.31440345437	-118458.25709020474	-102.05731324961546	-118458.25709020474	3.9650017617964117	-97.12007552069825	1.3427753748756626	3.594462354041547
121000	-118559.8180668837	-118460.66793419942	-99.15013268428595	-118460.66793419942	3.748734510014604	-94.28685165963476	1.268818670609631	3.594462354041547
122000	-118551.21473660784	-118449.64611985807	-101.56861674977856	-118449.64611985807	4.005079288456546	-96.74381707247821	1.2303373232587964	3.594462354041547
123000	-118554.78055765471	-118454.05042568054	-100.73013197417242	-118454.05042568054	3.863990143785367	-96.06619192490386	1.0694776952270098	3.594462354041547
124000	-118557.91374039503	-118454.50901387403	-103.4047265209916	-118454.50901387403	4.046493747778236	-98.4376705195572	1.3725936473928513	3.594462354041547
125000	-118542.42567312755	-118444.22765949242	-98.19801363514112	-118444.22765949242	4.005588415152686	-93.42590792158097	1.2070676623991472	3.5650380511610145
126000	-118552.22444308027	-118453.09989181042	-99.12455126985296	-118453.09989181042	3.9788019711437945	-94.34058326230934	1.2189299563826075	3.5650380511610145
127000	-118537.04843868631	-118438.21655022298	-98.83188846332752	-118438.21655022298	3.810052405730226	-93.95100433901125	1.3158460731552513	3.5650380511610145
128000	-118541.51470550096	-118442.24157718783	-99.27312831312535	-118442.24157718783	4.026747107310144	-94.54637803386285	1.1617122281014969	3.5650380511610145
129000	-118551.68596176604	-118455.1233257709	-96.56263599513704	-118455.1233257709	3.9630720040993026	-91.59971509880293	1.397882845173104	3.5650380511610145
130000	-118535.60318024522	-118442.7797395089	-92.82344073631856	-118442.7797395089	3.709861680863684	-87.87215394164976	1.386248743507791	3.5650380511610145
131000	-118545.00706104584	-118444.87935905362	-100.12770199221266	-118444.87935905362	3.7697037006584053	-95.15077014900557	1.4118937920460881	3.5650380511610145
132000	-118560.81145881642	-118458.37462270155	-102.436836114873	-118458.37462270155	4.121439234869457	-97.70015972339993	1.1716383403120538	3.5650380511610145
133000	-118547.47891913656	-118445.20914594119	-102.26977319536647	-118445.20914594119	3.8216451934029556	-97.6217721920745	1.0829629521309583	3.5650380511610145
134000	-118549.6288401687	-118449.0689797693	-100.55986039940318	-118449.0689797693	3.834881967574343	-95.46625823826152	1.2111239003985266	3.882478260743134
135000	-118534.60417836257	-118436.92420929755	-97.67996906502862	-118436.92420929755	3.672501449700206	-92.56678002232121	1.2307107819642709	3.882478260743134
136000	-118542.11001303064	-118440.87400225559	-101.23601077505528	-118440.87400225559	4.0901852430066326	-96.23035039865087	1.123182115661279	3.882478260743134
